project_id,project_name,ministry,sector,state,implementing_agency,original_cost,revised_cost,cumulative_expenditure,planned_duration_months,elapsed_months,expected_delay_months,physical_progress,expected_progress,financial_progress,previous_physical_progress,progress_change,previous_expenditure,expenditure_change,total_milestones,completed_milestones,delayed_milestones,progress_gap,cost_overrun_percent,time_overrun_percent,cost_overrun,time_overrun,risk_score,risk_level
PRJ-00992,Infrastructure Project 00992,Ministry of Road Transport,Energy,Andhra Pradesh,State Government Agency,753.04,794.36,438.45,49,18,6.8,38.78,36.73,61.26,31.27,7.51,398.72,39.72,25,12,0,-2.05,5.49,13.88,0,1,15.39,Low
PRJ-00993,Infrastructure Project 00993,Ministry of Power,Energy,Telangana,Central Government Agency,8286.52,8398.53,1202.83,104,61,6.57,66.78,58.65,15.83,59.6,7.18,1120.22,82.61,27,3,0,-8.13,1.35,6.32,0,0,0.0,Low
PRJ-00994,Infrastructure Project 00994,Ministry of Jal Shakti,Energy,Andhra Pradesh,Central Government Agency,22651.79,29203.42,6449.44,113,39,9.86,22.83,34.51,25.32,20.36,2.48,6392.86,56.59,25,14,1,11.68,28.92,8.72,1,0,37.08,Medium
PRJ-00995,Infrastructure Project 00995,Ministry of Communications,Water & Sanitation,Andhra Pradesh,State Government Agency,19979.29,20908.41,6665.04,77,38,9.29,44.14,49.35,32.07,40.54,3.6,5949.34,715.7,22,5,1,5.21,4.65,12.07,0,1,10.9,Low
PRJ-00996,Infrastructure Project 00996,Ministry of Railways,Transport & Logistics,Maharashtra,Public Sector Undertaking,16723.69,18824.52,11047.65,57,58,0.0,96.73,100.0,60.33,94.14,2.6,10289.8,757.85,5,4,0,3.27,12.56,0.0,1,0,6.54,Low
PRJ-00997,Infrastructure Project 00997,Ministry of Power,Social Infrastructure,Maharashtra,Central Government Agency,29369.59,34917.5,22013.81,75,4,0.61,18.27,5.33,57.98,16.99,1.29,20335.75,1678.06,24,24,0,-12.94,18.89,0.81,1,0,7.71,Low
PRJ-00998,Infrastructure Project 00998,Ministry of Communications,Transport & Logistics,Madhya Pradesh,Central Government Agency,46691.43,52701.39,10659.22,102,75,8.7,76.68,73.53,21.45,74.98,1.71,10514.49,144.73,23,0,1,-3.15,12.87,8.53,1,0,23.13,Low
PRJ-00999,Infrastructure Project 00999,Ministry of Communications,Steel,Madhya Pradesh,Infrastructure Development Authority,8750.71,10410.24,5605.18,50,43,14.76,67.34,86.0,55.35,63.84,3.5,5525.74,79.44,19,13,5,18.66,18.96,29.51,1,1,40.29,Medium
PRJ-01000,Infrastructure Project 01000,Ministry of Housing,Transport & Logistics,Odisha,State Government Agency,36311.97,42852.59,30776.63,62,43,7.18,48.1,69.35,74.07,48.05,0.05,30189.51,587.11,27,15,2,21.26,18.01,11.57,1,1,28.48,Low
PRJ-01001,Infrastructure Project 01001,Ministry of Coal,Communication,Uttar Pradesh,Central Government Agency,49551.38,65947.21,29030.43,84,37,16.52,29.08,44.05,37.17,24.01,5.07,26459.33,2571.1,16,11,2,14.96,33.09,19.67,1,1,42.85,Medium
PRJ-01002,Infrastructure Project 01002,Ministry of Power,Coal,Bihar,Public Sector Undertaking,27503.87,28728.43,15370.08,52,21,3.51,36.58,40.38,48.61,33.89,2.69,14019.32,1350.76,13,2,0,3.81,4.45,6.74,0,0,9.61,Low
PRJ-01003,Infrastructure Project 01003,Ministry of Steel,Transport & Logistics,Rajasthan,State Government Agency,37503.98,38046.81,24815.09,55,13,0.0,24.61,23.64,69.91,18.47,6.13,24050.66,764.43,18,2,2,-0.97,1.45,0.0,0,0,8.63,Low
PRJ-01004,Infrastructure Project 01004,Ministry of Communications,Steel,Bihar,State Government Agency,15846.65,19951.89,15413.07,94,79,7.93,83.71,84.04,77.4,82.44,1.27,14759.33,653.74,8,5,0,0.33,25.91,8.44,1,0,17.69,Low
PRJ-01005,Infrastructure Project 01005,Ministry of Railways,Energy,Madhya Pradesh,State Government Agency,31681.81,42787.95,36303.74,51,60,0.0,100.0,100.0,91.24,98.81,1.19,35345.53,958.21,16,0,0,0.0,35.06,0.0,1,0,28.27,Low
PRJ-01006,Infrastructure Project 01006,Ministry of Steel,Communication,Odisha,State Government Agency,48576.52,58507.5,34293.0,43,8,0.73,12.93,18.6,58.23,7.75,5.18,32932.9,1360.1,16,9,0,5.68,20.44,1.71,1,0,22.07,Low
PRJ-01007,Infrastructure Project 01007,Ministry of Coal,Transport & Logistics,Madhya Pradesh,Infrastructure Development Authority,5608.88,5966.25,3040.06,68,75,7.23,100.0,100.0,52.56,98.78,1.22,2752.59,287.47,14,0,0,0.0,6.37,10.63,0,1,13.93,Low
PRJ-01008,Infrastructure Project 01008,Ministry of Road Transport,Social Infrastructure,Gujarat,Public Sector Undertaking,43673.41,52618.71,40198.82,37,39,0.83,100.0,100.0,76.99,93.68,6.32,38985.24,1213.58,5,4,2,0.0,20.48,2.24,1,0,16.0,Low
PRJ-01009,Infrastructure Project 01009,Ministry of Steel,Transport & Logistics,Karnataka,Public Sector Undertaking,8136.21,8483.01,6669.58,98,68,0.0,60.39,69.39,78.08,59.84,0.55,5968.0,701.59,20,15,2,9.0,4.26,0.0,0,0,4.41,Low
PRJ-01010,Infrastructure Project 01010,Ministry of Housing,Social Infrastructure,Andhra Pradesh,Public Sector Undertaking,15127.2,15479.84,11071.63,55,22,9.21,44.9,40.0,73.61,42.81,2.09,9556.41,1515.22,22,4,1,-4.9,2.33,16.74,0,1,19.96,Low
PRJ-01011,Infrastructure Project 01011,Ministry of Coal,Mining,West Bengal,State Government Agency,36484.18,42369.55,20824.25,101,7,0.0,0.17,6.93,51.97,0.0,0.17,18893.84,1930.4,14,0,1,6.76,16.13,0.0,1,0,18.95,Low
PRJ-01012,Infrastructure Project 01012,Ministry of Road Transport,Steel,Rajasthan,Central Government Agency,5638.25,7018.53,4243.18,74,32,6.69,37.51,43.24,62.94,36.61,0.9,3928.46,314.71,29,23,0,5.74,24.48,9.04,1,0,27.44,Low
PRJ-01013,Infrastructure Project 01013,Ministry of Power,Energy,Odisha,State Government Agency,40018.17,43286.99,7132.98,65,55,9.94,83.8,84.62,18.59,83.52,0.28,6464.75,668.23,25,16,0,0.81,8.17,15.29,0,1,15.93,Low
PRJ-01014,Infrastructure Project 01014,Ministry of Communications,Transport & Logistics,Madhya Pradesh,Central Government Agency,32210.84,38322.03,20972.75,60,23,6.59,17.19,38.33,55.81,14.51,2.68,19375.98,1596.77,23,3,5,21.14,18.97,10.99,1,1,36.38,Medium
PRJ-01015,Infrastructure Project 01015,Ministry of Communications,Social Infrastructure,Madhya Pradesh,Public Sector Undertaking,18673.33,20047.99,15444.17,50,49,0.0,90.03,98.0,78.66,85.17,4.86,14949.87,494.3,13,7,0,7.97,7.36,0.0,0,0,5.19,Low
PRJ-01016,Infrastructure Project 01016,Ministry of Railways,Coal,Uttar Pradesh,Public Sector Undertaking,8833.95,8934.04,7093.77,39,32,2.06,70.61,82.05,73.11,65.79,4.83,7033.64,60.13,16,14,2,11.44,1.13,5.29,0,0,16.39,Low
PRJ-01017,Infrastructure Project 01017,Ministry of Communications,Energy,Telangana,Public Sector Undertaking,32814.45,39155.05,17295.75,89,18,1.46,6.54,20.22,45.86,4.01,2.52,16374.19,921.56,17,4,1,13.69,19.32,1.64,1,0,26.29,Low
PRJ-01018,Infrastructure Project 01018,Ministry of Communications,Transport & Logistics,Bihar,Central Government Agency,23928.76,27548.44,20506.62,38,44,6.59,100.0,100.0,72.83,92.24,7.76,18669.35,1837.26,28,8,1,0.0,15.13,17.34,1,1,21.48,Low
PRJ-01019,Infrastructure Project 01019,Ministry of Steel,Water & Sanitation,Odisha,Public Sector Undertaking,16070.71,16867.86,7267.91,107,110,0.0,100.0,100.0,39.82,97.27,2.73,7092.86,175.04,11,7,0,0.0,4.96,0.0,0,0,9.71,Low
PRJ-01020,Infrastructure Project 01020,Ministry of Steel,Transport & Logistics,Uttar Pradesh,Central Government Agency,42044.27,46658.66,24901.72,38,30,6.29,73.4,78.95,59.67,71.17,2.23,22581.58,2320.13,8,3,0,5.55,10.98,16.54,1,1,20.99,Low
PRJ-01021,Infrastructure Project 01021,Ministry of Coal,Communication,Bihar,Infrastructure Development Authority,25591.4,27947.62,23714.32,43,46,0.28,91.92,100.0,83.67,85.72,6.2,21038.43,2675.89,11,5,3,8.08,9.21,0.66,0,0,20.11,Low
PRJ-01022,Infrastructure Project 01022,Ministry of Coal,Transport & Logistics,Karnataka,Infrastructure Development Authority,23356.17,24041.99,16243.66,95,89,9.31,82.46,93.68,62.6,76.32,6.15,15269.1,974.56,13,6,0,11.22,2.94,9.8,0,0,13.52,Low
PRJ-01023,Infrastructure Project 01023,Ministry of Communications,Coal,Uttar Pradesh,Infrastructure Development Authority,45495.45,50354.56,41576.37,34,18,0.0,49.11,52.94,80.84,45.58,3.53,35950.28,5626.09,16,8,0,3.84,10.68,0.0,1,0,8.8,Low
PRJ-01024,Infrastructure Project 01024,Ministry of Housing,Steel,Telangana,Infrastructure Development Authority,1257.74,1691.6,864.53,28,27,0.0,100.0,96.43,55.75,93.75,6.25,858.85,5.68,29,20,2,-3.57,34.5,0.0,1,0,22.68,Low
PRJ-01025,Infrastructure Project 01025,Ministry of Steel,Water & Sanitation,Uttar Pradesh,State Government Agency,23856.31,24678.47,13083.58,99,23,2.17,21.14,23.23,54.33,16.91,4.23,12256.46,827.12,13,11,0,2.09,3.45,2.19,0,0,0.0,Low
PRJ-01026,Infrastructure Project 01026,Ministry of Communications,Social Infrastructure,Telangana,Infrastructure Development Authority,12730.23,14543.82,2049.67,91,21,1.5,3.69,23.08,15.11,0.38,3.31,1865.7,183.97,24,17,0,19.39,14.25,1.65,1,0,28.53,Low
PRJ-01027,Infrastructure Project 01027,Ministry of Communications,Water & Sanitation,Madhya Pradesh,Central Government Agency,44357.47,47641.86,3585.24,107,54,1.53,50.91,50.47,4.66,50.4,0.51,3426.06,159.18,28,15,0,-0.44,7.4,1.43,0,0,17.83,Low
PRJ-01028,Infrastructure Project 01028,Ministry of Coal,Steel,Rajasthan,State Government Agency,13136.25,15815.99,7990.06,30,37,5.99,100.0,100.0,49.84,97.64,2.36,7061.38,928.68,24,20,1,0.0,20.4,19.98,1,1,31.44,Low
PRJ-01029,Infrastructure Project 01029,Ministry of Steel,Mining,Maharashtra,Public Sector Undertaking,13115.24,15083.4,10975.49,69,46,5.56,58.4,66.67,78.57,54.28,4.13,9450.22,1525.27,6,4,0,8.26,15.01,8.05,1,0,26.24,Low
PRJ-01030,Infrastructure Project 01030,Ministry of Jal Shakti,Water & Sanitation,Andhra Pradesh,Central Government Agency,21427.4,24003.17,17006.01,26,29,2.38,100.0,100.0,71.39,95.46,4.54,14652.87,2353.15,21,6,0,0.0,12.02,9.14,1,0,6.98,Low
PRJ-01031,Infrastructure Project 01031,Ministry of Communications,Water & Sanitation,Odisha,State Government Agency,21902.11,28664.74,2789.41,110,41,12.38,38.28,37.27,10.22,36.56,1.72,2429.49,359.92,25,11,0,-1.01,30.88,11.26,1,1,23.97,Low
PRJ-01032,Infrastructure Project 01032,Ministry of Jal Shakti,Water & Sanitation,Uttar Pradesh,State Government Agency,32695.72,35017.3,8853.46,58,29,0.0,49.01,50.0,24.46,47.57,1.44,7558.42,1295.03,5,4,2,0.99,7.1,0.0,0,0,18.75,Low
PRJ-01033,Infrastructure Project 01033,Ministry of Coal,Water & Sanitation,Tamil Nadu,Central Government Agency,18213.23,19067.75,8507.31,85,62,0.0,63.83,72.94,55.31,58.52,5.32,7790.95,716.36,22,15,1,9.11,4.69,0.0,0,0,16.77,Low
PRJ-01034,Infrastructure Project 01034,Ministry of Road Transport,Water & Sanitation,Madhya Pradesh,Central Government Agency,45401.84,47758.68,40040.18,113,52,0.0,42.71,46.02,91.13,35.37,7.34,35936.11,4104.07,11,5,1,3.31,5.19,0.0,0,0,5.95,Low
PRJ-01035,Infrastructure Project 01035,Ministry of Communications,Communication,Telangana,State Government Agency,48502.11,50287.96,10202.68,62,34,11.82,60.82,54.84,23.34,53.71,7.1,9025.43,1177.25,9,7,2,-5.98,3.68,19.07,0,1,22.51,Low
PRJ-01036,Infrastructure Project 01036,Ministry of Road Transport,Water & Sanitation,Karnataka,Infrastructure Development Authority,41951.08,49939.08,38451.1,49,7,8.21,13.92,14.29,77.7,7.52,6.4,32794.51,5656.6,25,18,0,0.37,19.04,16.76,1,1,24.24,Low
PRJ-01037,Infrastructure Project 01037,Ministry of Jal Shakti,Mining,Rajasthan,Public Sector Undertaking,2018.67,3190.98,853.38,70,9,14.45,17.63,12.86,28.57,14.63,3.0,824.85,28.53,19,13,0,-4.77,58.07,20.64,1,1,27.3,Low
PRJ-01038,Infrastructure Project 01038,Ministry of Steel,Communication,Andhra Pradesh,State Government Agency,42388.69,42797.8,21853.62,42,4,0.0,12.18,9.52,48.78,5.05,7.13,21604.38,249.24,12,10,0,-2.66,0.97,0.0,0,0,1.49,Low
PRJ-01039,Infrastructure Project 01039,Ministry of Steel,Coal,Madhya Pradesh,Public Sector Undertaking,29358.97,34515.74,14425.71,40,17,2.21,47.08,42.5,36.52,40.24,6.84,12433.5,1992.21,6,6,1,-4.58,17.56,5.54,1,0,17.48,Low
PRJ-01040,Infrastructure Project 01040,Ministry of Communications,Steel,Odisha,Infrastructure Development Authority,322.9,364.55,116.77,78,38,0.0,41.43,48.72,31.15,37.85,3.58,100.82,15.95,16,0,0,7.29,12.9,0.0,1,0,31.69,Low
PRJ-01041,Infrastructure Project 01041,Ministry of Coal,Communication,Bihar,Infrastructure Development Authority,21328.23,21596.01,13499.06,107,70,5.8,65.65,65.42,59.23,58.47,7.18,12263.58,1235.47,27,10,0,-0.23,1.26,5.42,0,0,15.84,Low
PRJ-01042,Infrastructure Project 01042,Ministry of Power,Energy,Gujarat,Public Sector Undertaking,9625.93,11409.83,7627.85,93,11,8.04,0.0,11.83,67.9,0.0,0.0,7527.92,99.93,24,20,1,11.83,18.53,8.65,1,0,14.95,Low
PRJ-01043,Infrastructure Project 01043,Ministry of Power,Social Infrastructure,Madhya Pradesh,Public Sector Undertaking,20591.61,21443.22,11191.34,118,59,11.59,45.05,50.0,48.21,39.32,5.73,9578.79,1612.55,22,12,0,4.95,4.14,9.82,0,0,21.63,Low
PRJ-01044,Infrastructure Project 01044,Ministry of Coal,Steel,Uttar Pradesh,Central Government Agency,34949.06,36134.15,28852.95,36,44,0.0,100.0,100.0,78.37,96.09,3.91,27880.82,972.13,25,5,0,0.0,3.39,0.0,0,0,0.0,Low
PRJ-01045,Infrastructure Project 01045,Ministry of Communications,Mining,Telangana,Central Government Agency,8614.28,13606.38,4715.57,39,34,6.02,90.42,87.18,34.04,87.31,3.12,4440.19,275.38,22,12,0,-3.24,57.95,15.43,1,1,29.42,Low
PRJ-01046,Infrastructure Project 01046,Ministry of Housing,Communication,West Bengal,State Government Agency,22201.89,24654.0,2345.37,84,21,3.74,27.92,25.0,9.19,26.82,1.1,2084.2,261.17,9,4,0,-2.92,11.04,4.45,1,0,19.26,Low
PRJ-01047,Infrastructure Project 01047,Ministry of Railways,Transport & Logistics,Odisha,Public Sector Undertaking,40928.66,43582.97,25179.45,78,80,7.11,100.0,100.0,61.76,93.63,6.37,24152.12,1027.33,25,16,1,0.0,6.49,9.11,0,0,12.63,Low
PRJ-01048,Infrastructure Project 01048,Ministry of Road Transport,Mining,Uttar Pradesh,Infrastructure Development Authority,16888.08,21726.94,7310.96,84,67,19.97,63.03,79.76,34.48,56.24,6.79,6666.81,644.15,27,4,2,16.73,28.65,23.78,1,1,45.25,Medium
PRJ-01049,Infrastructure Project 01049,Ministry of Housing,Water & Sanitation,Gujarat,Infrastructure Development Authority,33175.0,40471.83,10213.56,91,94,22.58,89.16,100.0,33.75,82.22,6.94,9613.94,599.62,5,1,4,10.84,21.99,24.81,1,1,52.47,Medium
PRJ-01050,Infrastructure Project 01050,Ministry of Steel,Social Infrastructure,Madhya Pradesh,State Government Agency,35108.46,37629.79,20695.29,62,61,1.94,90.39,98.39,64.64,85.41,4.98,20677.78,17.5,9,4,0,8.0,7.18,3.14,0,0,5.31,Low
PRJ-01051,Infrastructure Project 01051,Ministry of Steel,Social Infrastructure,Tamil Nadu,Public Sector Undertaking,16661.64,16716.28,2369.62,98,57,0.0,54.97,58.16,16.18,53.7,1.27,2044.57,325.04,17,11,1,3.19,0.33,0.0,0,0,8.48,Low
PRJ-01052,Infrastructure Project 01052,Ministry of Road Transport,Coal,Madhya Pradesh,Central Government Agency,32860.36,36078.32,28284.4,72,51,8.99,61.19,70.83,79.28,56.4,4.8,26055.85,2228.55,26,18,0,9.64,9.79,12.49,0,1,21.41,Low
PRJ-01053,Infrastructure Project 01053,Ministry of Steel,Steel,Andhra Pradesh,Central Government Agency,35713.94,50421.99,13918.22,41,16,0.0,41.35,39.02,29.25,34.16,7.19,12961.89,956.33,8,0,0,-2.33,41.18,0.0,1,0,19.33,Low
PRJ-01054,Infrastructure Project 01054,Ministry of Communications,Transport & Logistics,Karnataka,Public Sector Undertaking,9668.2,12709.76,4821.18,108,67,25.7,40.91,62.04,39.78,35.71,5.2,4420.88,400.3,20,4,3,21.13,31.46,23.8,1,1,48.38,Medium
PRJ-01055,Infrastructure Project 01055,Ministry of Housing,Mining,West Bengal,Central Government Agency,44503.49,48499.28,27411.58,108,112,16.71,100.0,100.0,63.95,95.87,4.13,27331.74,79.83,26,9,1,0.0,8.98,15.47,0,1,15.18,Low
PRJ-01056,Infrastructure Project 01056,Ministry of Steel,Steel,Rajasthan,Public Sector Undertaking,49806.34,52523.58,33652.58,75,8,8.91,10.56,10.67,59.57,8.29,2.28,31532.69,2119.89,20,2,0,0.1,5.46,11.87,0,1,17.16,Low
PRJ-01057,Infrastructure Project 01057,Ministry of Power,Water & Sanitation,West Bengal,Central Government Agency,13856.71,15709.58,11004.31,115,118,5.68,100.0,100.0,63.36,92.21,7.79,9603.08,1401.23,17,8,0,0.0,13.37,4.94,1,0,22.41,Low
PRJ-01058,Infrastructure Project 01058,Ministry of Jal Shakti,Energy,Madhya Pradesh,State Government Agency,34065.56,37377.04,25679.58,90,88,10.13,98.68,97.78,74.84,96.84,1.85,22959.64,2719.95,16,6,1,-0.9,9.72,11.25,0,1,9.09,Low
PRJ-01059,Infrastructure Project 01059,Ministry of Housing,Steel,Uttar Pradesh,State Government Agency,12756.88,13604.6,11494.5,41,29,7.11,59.32,70.73,83.06,54.63,4.7,11158.98,335.52,21,14,3,11.41,6.65,17.33,0,1,27.25,Low
PRJ-01060,Infrastructure Project 01060,Ministry of Communications,Communication,Karnataka,State Government Agency,10623.76,11965.28,5694.37,105,111,15.06,100.0,100.0,52.96,96.35,3.65,4966.33,728.04,8,6,2,0.0,12.63,14.34,1,1,21.84,Low
PRJ-01061,Infrastructure Project 01061,Ministry of Housing,Water & Sanitation,Bihar,Infrastructure Development Authority,49671.81,59332.79,27888.94,43,14,3.68,41.26,32.56,46.11,36.84,4.42,24732.45,3156.49,10,0,1,-8.7,19.45,8.57,1,0,19.71,Low
PRJ-01062,Infrastructure Project 01062,Ministry of Railways,Social Infrastructure,Gujarat,State Government Agency,27183.16,30318.37,13005.52,39,47,0.0,100.0,100.0,48.57,97.38,2.62,12206.87,798.64,11,7,0,0.0,11.53,0.0,1,0,10.77,Low
PRJ-01063,Infrastructure Project 01063,Ministry of Power,Mining,West Bengal,Infrastructure Development Authority,37945.05,41789.26,34985.5,59,15,1.1,25.02,25.42,76.47,20.98,4.04,33751.03,1234.47,23,10,1,0.41,10.13,1.87,1,0,2.93,Low
PRJ-01064,Infrastructure Project 01064,Ministry of Power,Social Infrastructure,Karnataka,Central Government Agency,4842.46,5311.44,1427.01,111,13,7.61,11.84,11.71,21.59,4.73,7.11,1213.73,213.28,12,6,1,-0.13,9.68,6.86,0,0,20.05,Low
PRJ-01065,Infrastructure Project 01065,Ministry of Jal Shakti,Steel,Gujarat,Infrastructure Development Authority,25594.36,27451.55,22016.35,24,12,8.32,43.13,50.0,82.84,41.91,1.22,20805.96,1210.39,24,1,1,6.87,7.26,34.67,0,1,24.26,Low
PRJ-01066,Infrastructure Project 01066,Ministry of Road Transport,Mining,Rajasthan,Central Government Agency,3941.06,4345.61,2894.49,114,68,7.0,63.29,59.65,71.07,58.65,4.64,2562.02,332.47,11,5,0,-3.64,10.27,6.14,1,0,14.95,Low
PRJ-01067,Infrastructure Project 01067,Ministry of Steel,Mining,Uttar Pradesh,Infrastructure Development Authority,7893.2,8257.51,1714.68,73,79,0.0,100.0,100.0,21.04,93.64,6.36,1703.19,11.49,15,15,2,0.0,4.62,0.0,0,0,2.76,Low
PRJ-01068,Infrastructure Project 01068,Ministry of Steel,Steel,Tamil Nadu,State Government Agency,33689.09,34951.91,5018.76,91,59,9.49,60.18,64.84,21.5,59.66,0.51,4308.73,710.04,15,14,2,4.66,3.75,10.43,0,1,19.16,Low
PRJ-01069,Infrastructure Project 01069,Ministry of Communications,Energy,Bihar,Central Government Agency,27239.97,27430.04,7874.18,55,48,3.41,75.89,87.27,28.13,71.26,4.62,7106.52,767.67,26,12,0,11.38,0.7,6.19,0,0,9.31,Low
PRJ-01070,Infrastructure Project 01070,Ministry of Power,Coal,Maharashtra,State Government Agency,38909.85,41221.95,10448.44,45,31,2.44,67.87,68.89,19.58,61.95,5.91,9009.96,1438.48,14,14,2,1.02,5.94,5.42,0,0,15.87,Low
PRJ-01071,Infrastructure Project 01071,Ministry of Housing,Mining,Telangana,Infrastructure Development Authority,21848.32,26673.32,20599.59,38,31,1.91,93.06,81.58,75.65,89.29,3.78,19339.39,1260.2,23,9,0,-11.49,22.08,5.04,1,0,10.62,Low
PRJ-01072,Infrastructure Project 01072,Ministry of Coal,Water & Sanitation,Telangana,State Government Agency,16312.56,16941.13,4116.16,95,5,0.0,3.41,5.26,24.18,0.0,3.41,3551.41,564.75,15,11,1,1.85,3.85,0.0,0,0,11.66,Low
PRJ-01073,Infrastructure Project 01073,Ministry of Road Transport,Communication,West Bengal,Public Sector Undertaking,22534.11,33047.15,14106.31,52,51,5.83,100.0,98.08,36.68,96.38,3.62,12972.94,1133.36,14,14,1,-1.92,46.65,11.21,1,1,39.06,Medium
PRJ-01074,Infrastructure Project 01074,Ministry of Jal Shakti,Energy,Tamil Nadu,Infrastructure Development Authority,14449.69,18494.79,3813.97,32,18,2.97,52.12,56.25,19.55,48.35,3.77,3774.86,39.11,23,7,1,4.13,27.99,9.29,1,0,19.37,Low
PRJ-01075,Infrastructure Project 01075,Ministry of Jal Shakti,Water & Sanitation,Maharashtra,Central Government Agency,17383.28,18433.95,4796.72,76,13,7.7,12.38,17.11,25.8,11.36,1.02,4483.29,313.43,8,2,2,4.73,6.04,10.13,0,1,29.83,Low
PRJ-01076,Infrastructure Project 01076,Ministry of Railways,Coal,Bihar,State Government Agency,17319.14,23422.78,5651.71,43,21,0.0,40.66,48.84,23.97,34.46,6.2,5546.11,105.59,22,20,0,8.18,35.24,0.0,1,0,22.07,Low
PRJ-01077,Infrastructure Project 01077,Ministry of Coal,Coal,Karnataka,Public Sector Undertaking,34246.34,45301.4,10815.19,80,72,3.84,94.07,90.0,22.5,88.71,5.36,9331.24,1483.95,17,3,2,-4.07,32.28,4.8,1,0,20.64,Low
PRJ-01078,Infrastructure Project 01078,Ministry of Railways,Mining,Bihar,Infrastructure Development Authority,6876.43,6989.45,3347.34,87,81,0.0,99.33,93.1,45.17,95.99,3.35,3147.2,200.14,14,4,1,-6.23,1.64,0.0,0,0,0.0,Low
PRJ-01079,Infrastructure Project 01079,Ministry of Coal,Mining,Tamil Nadu,State Government Agency,13726.82,14864.16,3432.59,113,3,7.03,0.0,2.65,16.74,0.0,0.0,3281.22,151.37,25,8,1,2.65,8.29,6.22,0,0,8.87,Low
PRJ-01080,Infrastructure Project 01080,Ministry of Communications,Mining,Madhya Pradesh,Infrastructure Development Authority,15302.92,15668.94,2118.9,29,32,4.04,100.0,100.0,8.06,94.26,5.74,1808.09,310.81,29,27,1,0.0,2.39,13.94,0,1,13.12,Low
PRJ-01081,Infrastructure Project 01081,Ministry of Road Transport,Mining,Gujarat,State Government Agency,42023.56,44328.3,16700.96,33,19,0.0,56.0,57.58,38.52,55.13,0.88,15822.03,878.93,17,15,0,1.57,5.48,0.0,0,0,10.57,Low
PRJ-01082,Infrastructure Project 01082,Ministry of Power,Social Infrastructure,Andhra Pradesh,Infrastructure Development Authority,9331.8,9952.14,7875.1,25,31,1.95,100.0,100.0,80.28,93.16,6.84,7631.95,243.15,5,1,0,0.0,6.65,7.81,0,0,7.43,Low
PRJ-01083,Infrastructure Project 01083,Ministry of Communications,Steel,Telangana,Public Sector Undertaking,19085.75,19606.55,4482.8,76,61,9.11,73.02,80.26,23.82,67.04,5.98,4479.71,3.09,25,22,2,7.24,2.73,11.98,0,1,23.87,Low
PRJ-01084,Infrastructure Project 01084,Ministry of Railways,Social Infrastructure,Maharashtra,Central Government Agency,41445.65,41731.22,8300.51,113,42,3.24,35.19,37.17,14.26,31.53,3.66,7508.03,792.48,28,15,1,1.98,0.69,2.87,0,0,8.01,Low
PRJ-01085,Infrastructure Project 01085,Ministry of Communications,Transport & Logistics,Tamil Nadu,Public Sector Undertaking,7385.21,7569.71,5010.48,30,8,0.0,26.99,26.67,75.11,24.56,2.44,4668.89,341.59,28,4,1,-0.33,2.5,0.0,0,0,2.6,Low
PRJ-01086,Infrastructure Project 01086,Ministry of Communications,Mining,Gujarat,Infrastructure Development Authority,32429.7,34048.75,8943.12,98,26,5.61,20.48,26.53,35.37,18.45,2.04,7934.49,1008.64,6,2,0,6.05,4.99,5.73,0,0,12.53,Low
PRJ-01087,Infrastructure Project 01087,Ministry of Jal Shakti,Communication,Telangana,State Government Agency,39607.82,43824.98,32249.27,44,26,0.0,64.09,59.09,70.54,61.79,2.29,31039.28,1210.0,8,7,1,-4.99,10.65,0.0,1,0,18.65,Low
PRJ-01088,Infrastructure Project 01088,Ministry of Communications,Mining,Tamil Nadu,State Government Agency,13308.33,15697.76,5014.86,115,57,4.38,54.93,49.57,37.11,51.79,3.15,4635.02,379.84,15,6,0,-5.37,17.95,3.81,1,0,8.74,Low
PRJ-01089,Infrastructure Project 01089,Ministry of Steel,Mining,Telangana,Central Government Agency,30447.5,34342.86,25110.7,115,29,0.0,8.3,25.22,71.85,1.97,6.33,21582.27,3528.44,21,1,3,16.92,12.79,0.0,1,0,25.74,Low
PRJ-01090,Infrastructure Project 01090,Ministry of Communications,Water & Sanitation,West Bengal,State Government Agency,38647.94,41473.61,24688.63,30,20,5.35,82.72,66.67,55.09,81.29,1.42,24401.37,287.26,8,4,0,-16.05,7.31,17.82,0,1,21.4,Low
PRJ-01091,Infrastructure Project 01091,Ministry of Communications,Transport & Logistics,Maharashtra,Central Government Agency,22954.73,26089.75,6000.62,63,20,1.92,36.54,31.75,30.4,32.72,3.82,5159.42,841.2,6,0,0,-4.79,13.66,3.04,1,0,18.99,Low
PRJ-01092,Infrastructure Project 01092,Ministry of Coal,Mining,Uttar Pradesh,Central Government Agency,45175.7,49052.58,14971.92,31,26,3.42,93.92,83.87,23.93,90.54,3.38,14204.53,767.38,25,4,1,-10.05,8.58,11.03,0,1,16.01,Low
PRJ-01093,Infrastructure Project 01093,Ministry of Road Transport,Coal,Gujarat,Central Government Agency,21710.77,24279.13,16827.89,100,54,9.95,63.07,54.0,67.65,55.45,7.61,16780.72,47.17,29,24,1,-9.07,11.83,9.95,1,0,18.44,Low
PRJ-01094,Infrastructure Project 01094,Ministry of Housing,Coal,Uttar Pradesh,Infrastructure Development Authority,48937.06,51538.72,39018.78,52,55,0.0,100.0,100.0,71.32,96.3,3.7,37961.55,1057.23,18,9,0,0.0,5.32,0.0,0,0,2.33,Low
